waveno,SA,mel,pre2,MF2,MFC2,pre4,MF4,MFC4,pre6,MF6,MFC6
3996.34713,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3994.30713,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3992.26714,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3990.22714,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3988.18715,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3986.14716,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3984.10716,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3982.06717,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3980.02718,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3977.98718,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3975.94719,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3973.9072,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3971.8672,0.99973,0.99919,0.99809,0.99958,0.99949,0.99753,0.99936,0.99958,0.99891,0.99919,0.99962
3969.82721,0.99967,0.99911,0.998,0.99954,0.99946,0.9974,0.99928,0.99954,0.99887,0.99913,0.99955
3967.78722,0.99967,0.99906,0.99798,0.99949,0.99942,0.9972,0.99918,0.9995,0.99881,0.99904,0.99946
3965.74722,0.99963,0.99902,0.99794,0.99943,0.99938,0.99701,0.99908,0.99945,0.99875,0.99894,0.99936
3963.70723,0.99952,0.99897,0.99783,0.99937,0.99933,0.99686,0.99896,0.9994,0.99868,0.99883,0.99926
3961.66724,0.9994,0.99891,0.99771,0.99931,0.99929,0.99672,0.99883,0.99934,0.99861,0.99872,0.99915
3959.62724,0.99934,0.99887,0.99762,0.99925,0.99925,0.99655,0.99871,0.99929,0.99854,0.99863,0.99904
3957.58725,0.99934,0.99885,0.99758,0.99919,0.99922,0.99634,0.9986,0.99925,0.99847,0.99854,0.99894
3955.54726,0.99932,0.99882,0.99753,0.99912,0.99918,0.99618,0.99848,0.9992,0.99839,0.99845,0.99885
3953.50726,0.99924,0.99878,0.99743,0.99904,0.99913,0.99609,0.99835,0.99915,0.9983,0.99834,0.99875
3951.46727,0.99918,0.99874,0.99735,0.99894,0.99907,0.99597,0.99821,0.99908,0.99819,0.99822,0.99864
3949.42728,0.99918,0.99871,0.99731,0.99882,0.99901,0.99581,0.99805,0.999,0.99808,0.99809,0.99853
3947.38728,0.99913,0.99867,0.99723,0.99869,0.99895,0.99572,0.99789,0.99893,0.99797,0.99798,0.99843
3945.34729,0.99908,0.99865,0.99712,0.99858,0.9989,0.99564,0.99777,0.99887,0.99789,0.99789,0.99835
3943.3073,0.9991,0.99864,0.99707,0.99849,0.99887,0.99549,0.99768,0.99882,0.99781,0.99783,0.9983
3941.2673,0.99913,0.99861,0.99701,0.99841,0.99884,0.99529,0.9976,0.99878,0.99775,0.99778,0.99827
3939.22731,0.99908,0.99854,0.99689,0.99834,0.99881,0.99512,0.99755,0.99874,0.9977,0.99775,0.99825
3937.18732,0.99898,0.99846,0.99671,0.99827,0.99879,0.99497,0.9975,0.99871,0.99765,0.99773,0.99824
3935.14732,0.99885,0.99837,0.9965,0.99819,0.99875,0.99483,0.99745,0.99867,0.99758,0.99769,0.99823
3933.10733,0.99874,0.99829,0.99631,0.99811,0.99871,0.99469,0.99739,0.99863,0.99751,0.99764,0.99821
3931.06734,0.99873,0.99824,0.99623,0.99802,0.99867,0.9945,0.99733,0.99857,0.99744,0.99758,0.99819
3929.02734,0.99881,0.99824,0.99624,0.99793,0.99862,0.99426,0.99725,0.9985,0.99738,0.99751,0.99816
3926.98735,0.99886,0.99828,0.99622,0.99785,0.99858,0.99407,0.99718,0.99843,0.99733,0.99743,0.99813
3924.94736,0.99887,0.9983,0.99614,0.99776,0.99853,0.99392,0.9971,0.99835,0.99729,0.99734,0.99809
3922.90736,0.99877,0.99829,0.996,0.99767,0.99847,0.99383,0.99701,0.99827,0.99725,0.99723,0.99803
3920.86737,0.9986,0.99824,0.99582,0.99758,0.99842,0.99379,0.9969,0.99818,0.99721,0.99709,0.99797
3918.82737,0.99852,0.99816,0.99576,0.99748,0.99836,0.99363,0.99678,0.99807,0.99716,0.99694,0.9979
3916.78738,0.99853,0.99807,0.99577,0.99738,0.9983,0.9934,0.99665,0.99797,0.99714,0.99679,0.99781
3914.74739,0.99843,0.99799,0.99565,0.9973,0.99825,0.99331,0.99652,0.99788,0.99713,0.99667,0.99774
3912.70739,0.9983,0.99793,0.99547,0.99723,0.99821,0.99325,0.9964,0.9978,0.99711,0.99655,0.99766
3910.6674,0.99833,0.9979,0.99545,0.99715,0.99816,0.99302,0.99627,0.99772,0.9971,0.99643,0.99758
3908.62741,0.99834,0.99788,0.99544,0.99705,0.99811,0.99283,0.99612,0.99764,0.99708,0.9963,0.9975
3906.58741,0.99833,0.99784,0.99543,0.99694,0.99805,0.99273,0.99595,0.99755,0.99705,0.99614,0.9974
3904.54742,0.99833,0.99779,0.99545,0.99679,0.99797,0.99267,0.99574,0.99745,0.99699,0.99595,0.99728
3902.50743,0.99825,0.99777,0.99541,0.99663,0.99788,0.99271,0.99551,0.99734,0.99692,0.99574,0.99715
